https://epg.pw/xmltv/epg_CN.xml" catchup="append" catchup-source="?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss}",#♻️ 九宮閣•導視
文物宝库,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078a346161/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA199v9hZiIrZ%2B5X675R6%2FGDjgcqn5UaJ6D814KM9%2FvF7QwvFfeEXMAK7LltfEC%2FKQQ
梨园频道,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
河南都市,http://v.vlanl.com:4022/udp/225.1.4.52:1081
河南民生,http://v.vlanl.com:4022/udp/225.1.4.53:1082
河南法治,http://v.vlanl.com:4022/udp/225.1.4.54:1083
河南电视剧,http://v.vlanl.com:4022/udp/225.1.4.55:1084
河南新闻,http://v.vlanl.com:4022/udp/225.1.4.56:1085
河南公共,http://v.vlanl.com:4022/udp/225.1.4.58:1087
河南乡村,http://v.vlanl.com:4022/udp/225.1.4.120:1149
河南国际,http://v.vlanl.com:4022/udp/225.1.4.102:1131
河南戏曲,http://v.vlanl.com:4022/udp/225.1.4.99:1128
收藏天下,http://v.vlanl.com:4022/udp/225.1.4.100:1129
中华功夫,http://v.vlanl.com:4022/udp/225.1.4.101:1130
睛彩中原,http://v.vlanl.com:4022/udp/225.1.4.163:1203
移动戏曲,http://v.vlanl.com:4022/udp/225.1.4.206:1254
移动电视,http://v.vlanl.com:4022/udp/225.1.5.40:1350
健康河南,http://v.vlanl.com:4022/udp/225.1.5.48:1358
河南导视,http://v.vlanl.com:4022/udp/225.1.4.194:1244
国学频道,http://v.vlanl.com:4022/udp/225.1.4.196:1311
欢腾购物 Ⅰ,http://v.vlanl.com:4022/udp/225.1.4.57:1086
欢腾购物 Ⅱ,http://v.vlanl.com:4022/udp/225.1.4.236:1282
郑州新闻综合,http://v.vlanl.com:4022/udp/225.1.4.140:1176
郑州商都,http://v.vlanl.com:4022/udp/225.1.4.141:1177
郑州文体旅游,http://v.vlanl.com:4022/udp/225.1.4.142:1178
郑州影视戏曲,http://v.vlanl.com:4022/udp/225.1.4.146:1182
郑州妇女儿童,http://v.vlanl.com:4022/udp/225.1.4.147:1183
郑州都市生活,http://v.vlanl.com:4022/udp/225.1.4.149:1185
郑州教育,http://v.vlanl.com:4022/udp/225.1.4.191:1241
洛阳新闻综合,http://wshls.live.migucloud.com/live/C788MHFD_C0/playlist.m3u8
洛阳科教,http://wshls.live.migucloud.com/live/CXGQPXRK_C0/playlist.m3u8
洛阳文旅,http://wshls.live.migucloud.com/live/FJ7Q9PIT_C0/playlist.m3u8
河北经济生活•邯郸 Ⅰ,http://116.132.87.246:8888/newlive/live/hls/20/live.m3u8
河北经济生活•邯郸 Ⅱ,http://hbyxmlg.picp.io:8088/tsfile/live/1000_1.m3u8
河北经济生活•保定,http://111.225.113.130:808/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市•邯郸 Ⅰ,http://116.132.87.246:8888/newlive/live/hls/21/live.m3u8
河北都市•邯郸 Ⅱ,http://hbyxmlg.picp.io:8088/tsfile/live/1001_1.m3u8
河北都市•保定,http://111.225.113.130:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧•邯郸 Ⅰ,http://116.132.87.246:8888/newlive/live/hls/22/live.m3u8
河北影视剧•邯郸 Ⅱ,http://hbyxmlg.picp.io:8088/tsfile/live/1002_1.m3u8
河北影视剧•保定,http://111.225.113.130:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共•邯郸 Ⅰ,http://116.132.87.246:8888/newlive/live/hls/23/live.m3u8
河北公共•邯郸 Ⅱ,http://hbyxmlg.picp.io:8088/tsfile/live/1004_1.m3u8
河北公共•保定,http://111.225.113.130:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教•保定 Ⅰ,http://zdwjl.eatuo.com:808/tsfile/live/1003_1.m3u8
河北少儿科教•保定 Ⅱ,http://111.225.113.130:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教•邯郸,http://hbyxmlg.picp.io:8088/tsfile/live/1003_1.m3u8
河北农民•保定 Ⅰ,http://zdwjl.eatuo.com:808/tsfile/live/1005_1.m3u8
河北农民•保定 Ⅱ,http://111.225.113.130:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民•邯郸,http://hbyxmlg.picp.io:8088/tsfile/live/1005_1.m3u8
河北杂技•保定,http://111.225.113.130:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄新闻综合,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8
石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8
石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8
石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
嘉佳卡通,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东经济科教,http://php.jdshipin.com:8880/chudian.php?id=gdjjkj
广东少儿,http://iptv.eatuo.com:9901/tsfile/live/1009_1.m3u8
文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
深圳都市「官方」,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
东莞新闻综合「官方」,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯「官方」,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
陕西新闻资讯,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226357/index.m3u8
陕西都市青春,http://[2409:8087:7001:20:3::6]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226358/index.m3u8
陕西生活,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/index.m3u8
陕西影视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226360/index.m3u8
陕西公共,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/index.m3u8
陕西体育休闲,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/index.m3u8
陕西西部电影,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226364/index.m3u8
西安新闻综合,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/index.m3u8
西安都市,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226367/index.m3u8
西安商务资讯,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
西安影视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226369/index.m3u8
西安丝路,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226370/index.m3u8
ETV•西安教育,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226371/index.m3u8
西安移动电视,https://xatv-yd1.xiancity.cn/live/7/index.m3u8
黑龙江新闻法治,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225967/index.m3u8
黑龙江文体,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225965/index.m3u8
黑龙江影视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225973/index.m3u8
黑龙江都市,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江农业科教,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225994/index.m3u8
黑龙江少儿,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225979/index.m3u8
山东齐鲁,https://livealone.iqilu.com/iqilu/qlpdhjOF03kn.m3u8
山东新闻,https://livealone.iqilu.com/iqilu/ggpdhjOF03kn.m3u8
山东体育休闲,https://livealone.iqilu.com/iqilu/typdhjOF03kn.m3u8
山东生活,https://livealone.iqilu.com/iqilu/shpdhjOF03kn.m3u8
山东综艺,https://livealone.iqilu.com/iqilu/zypdhjOF03kn.m3u8
山东农科,https://livealone.iqilu.com/iqilu/nkpdhjOF03kn.m3u8
山东文旅,https://livealone.iqilu.com/iqilu/yspdhjOF03kn.m3u8
山东少儿,https://livealone.iqilu.com/iqilu/sepdhjOF03kn.m3u8
山东教育卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
山西经济与科技,http://liveflash.sxrtv.com/live/sxfinance.m3u8?sub_m3u8=true&edge_slice=true
山西社会与法治,http://liveflash.sxrtv.com/live/sxedu.m3u8?sub_m3u8=true&edge_slice=true
山西文体生活,http://liveflash.sxrtv.com/live/sxpublic.m3u8?sub_m3u8=true&edge_slice=true
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
辽宁卫视•大连,http://jd.sy012.com:4000/udp/232.0.0.144:9108
辽宁都市•大连,http://jd.sy012.com:4000/udp/232.0.0.42:8856
辽宁体育•大连,http://jd.sy012.com:4000/udp/232.0.0.66:8820
辽宁北方•大连,http://jd.sy012.com:4000/udp/232.0.0.211:9240
辽宁影视剧•大连,http://jd.sy012.com:4000/udp/232.0.0.97:8534
辽宁生活•大连,http://jd.sy012.com:4000/udp/232.0.0.212:9242
辽宁公共•大连,http://jd.sy012.com:4000/udp/232.0.0.156:9322
辽宁经济•大连,http://jd.sy012.com:4000/udp/232.0.0.155:9320
辽宁教育青少•大连,http://jd.sy012.com:4000/udp/232.0.0.230:9356
辽宁移动电视•大连,http://jd.sy012.com:4000/udp/232.0.0.167:9338
经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8?zanhd
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?zanhd
综艺•体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd
海南新闻,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000321/index.m3u8?IAS
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?IAS
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?IAS
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?IAS
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?IAS
视听海南,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/08984400000000060000000000000440/index.m3u8?IAS
三亚新闻综合,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000136/index.m3u8?IAS
广西影视,http://116.9.204.242:9901/tsfile/live/0124_1.m3u8
广西综艺旅游,http://116.9.204.242:9901/tsfile/live/0125_1.m3u8
广西都市,http://116.9.204.242:9901/tsfile/live/1002_1.m3u8
云南娱乐,http://tvlive.ynradio.com/live/yunnanyule/playlist.m3u8
云南少儿,http://tvlive.ynradio.com/live/yunnanshaoer/playlist.m3u8
云南都市,http://tvlive.ynradio.com/live/yunnandushi/playlist.m3u8
澜湄国际,http://tvlive.ynradio.com/live/yunnanguoji/playlist.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳亞衛視,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
鳳凰衛視香港,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
鳳凰衛視中文 Ⅰ,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
鳳凰衛視中文 Ⅱ,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
鳳凰衛視資訊 Ⅰ,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
鳳凰衛視資訊 Ⅱ,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
緯來體育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
歡樂•TVBS,http://50.7.238.114:8278/tvbshuanle_twn/playlist.m3u8?tid=MA5A9262292692622926&ct=19254&tsum=cd369d68a5d2c1a2fa04df748cda142c
環球電視台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
東森亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
亞太第一衛視,http://play2.one-tv.com/live/onetv.m3u8
香港麵包臺,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
番薯111 Ⅰ,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯111 Ⅱ,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
J1•TVB,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
Taiwan Plus TV,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
HBO,http://41.205.93.154/HBO/index.m3u8
HBO+,http://170.254.18.106/HBO_PLUS/index.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
新聞•TVBS,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8?$1920x1080
東森新聞,http://livetv.skycf.eu.org/live.m3u8?c=9
民視新聞,http://livetv.skycf.eu.org/live.m3u8?c=11
華視新聞資訊,http://livetv.skycf.eu.org/live.m3u8?c=13
台視新聞,http://livetv.skycf.eu.org/live.m3u8?c=4
中視新聞,http://livetv.skycf.eu.org/live.m3u8?c=6
東森財經新聞,http://livetv.skycf.eu.org/live.m3u8?c=14
明珠台•TVB Pearl,http://120.238.13.198:8000/hls/19/index.m3u8
星河•TVB「Anycast」,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星河•TVB「曼谷」,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
星河•TVB「阿姆斯特丹」,http://198.16.100.90:8278/tvbxinhe_twn/playlist.m3u8?tid=ME2E8352893183528931&ct=19225&tsum=5f852c878e02000708a055c6b08a9405
娛樂新聞•TVB「曼谷」,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
娛樂新聞•TVB「Anycast」,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
功夫台•TVB,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
大愛1臺,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2臺 Ⅰ,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛2臺 Ⅱ,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
民視 HD,http://198.16.100.90:8278/ftvhd_taiwan/playlist.m3u8?tid=m15b424641a89&ct=18335&tsum=ba82cdbfb8253c45a13df5354e6d0dbc
MNEWS•镜新聞,http://livetv.skycf.eu.org/live.m3u8?c=10
中天新聞,http://livetv.skycf.eu.org/live.m3u8?c=7
中天亞洲,http://livetv.skycf.eu.org/live.m3u8?c=3
公視新聞,http://livetv.skycf.eu.org/live.m3u8?c=8
三洋新聞,http://livetv.skycf.eu.org/live.m3u8?c=12
RTHK•32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream1/streamPlaylist.m3u8
RTHK•33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK•34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK•35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8
J2•TVB「香港」,http://1.65.195.85:9981/stream/channelid/2082072924?profile=pass
J2•TVB「珠海」,http://bziyunshao.synology.me:8890/bysid/82
VIUTV,http://bziyunshao.synology.me:8889/bysid/99
VIUTV•SIX,http://bziyunshao.synology.me:8889/bysid/96
香港開電視•76,http://bziyunshao.synology.me:8891/bysid/76
香港開電視•77,http://bziyunshao.synology.me:8891/bysid/77
香港開電視•78,http://bziyunshao.synology.me:8891/bysid/78
耀才財經 Ⅰ,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才財經 Ⅱ,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
澳門蓮花衛視,http://php.jdshipin.com:8880/amlh.php
澳门Macau Ⅰ,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
澳门Macau Ⅱ,http://61.244.22.5/ch3/ch3.live/chunklist.m3u8
澳门Macau Ⅲ,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/playlist.m3u8
澳門資訊,http://61.244.22.5/ch5/info_ch5.live/playlist.m3u8
澳門體育,http://61.244.22.5/ch5/info_ch5.live/playlist.m3u8
澳門衛視,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
星空衛視,http://wouu.net:9977/udp/239.93.0.156:2193
高清劇場,http://60.10.203.69:8000/4.m3u8
經典功夫•星空「成都」,http://47.109.155.164/%E5%B0%8F%E6%9B%BE/yy.php?id=1355002394
經典功夫•星空「绵阳」,http://cfss.cc/cdn/yy/1355002394.flv
真武俠,http://1.62.64.252/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tx.flv.huya.com/src/1199632572132-1199632572132-7318565434771983384-2399265267720-10057-A-1703986510-1.flv
龍騰2臺,http://cfss.cc/cdn/yy/1355000685.flv
經典電影,http://cfss.cc/cdn/yy/1355260662.flv
佛衛慈悲,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
金磚中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
金磚英文,http://brics.bonus-tv.ru/cdn/brics/english/tracks-v1a1/index.m3u8
翡翠台（廣電 IPv6）,https://iptv.hiper25.com/TVB/video.m3u8
明珠台（廣電 IPv6）,https://iptv.hiper25.com/Pearl/video.m3u8
澳視澳門（廣電 IPv6）,https://iptv.hiper25.com/TDM/video.m3u8
廣東衛視（廣電 IPv6）,https://iptv.hiper25.com/gdws/video.m3u8
廣東珠江（廣電 IPv6）,https://iptv.hiper25.com/gdzj/video.m3u8
廣東體育（廣電 IPv6）,https://iptv.hiper25.com/gdty/video.m3u8
廣東民生（廣電 IPv6）,https://iptv.hiper25.com/gdms/video.m3u8
廣東經濟科教（廣電 IPv6）,https://iptv.hiper25.com/gdjjkj/video.m3u8
大灣區衛視（廣電 IPv6）,https://iptv.hiper25.com/dwq/video.m3u8
CCTV•4K（廣電 IPv6）,https://iptv.hiper25.com/CCTV-4K/video.m3u8
封神榜「虎牙」,http://cfss.cc/cdn/hy/23749096.flv
西游记•张卫健版 Ⅰ「虎牙」,http://cfss.cc/cdn/hy/23735126.flv
西游记•张卫健版 Ⅱ「虎牙」,http://cfss.cc/cdn/hy/23728660.flv
楚汉骄雄「虎牙」,http://cfss.cc/cdn/hy/23740156.flv
鹿鼎记•陈小春「虎牙」,http://cfss.cc/cdn/hy/23865080.flv
鹿鼎记•梁朝伟「虎牙」,http://cfss.cc/cdn/hy/23734183.flv
天龙八部•1997「虎牙」,http://cfss.cc/cdn/hy/23903123.flv
刑事侦缉档案「虎牙」,http://cfss.cc/cdn/hy/23734169.flv
寻秦记「虎牙」,http://cfss.cc/cdn/hy/23864973.flv
法证先锋「虎牙」,http://cfss.cc/cdn/hy/23863804.flv
陀枪师姐「虎牙」,http://cfss.cc/cdn/hy/23860039.flv
笑傲江湖•吕颂贤「虎牙」,http://cfss.cc/cdn/hy/23865142.flv
洗冤录「虎牙」,http://cfss.cc/cdn/hy/23903130.flv
倚天屠龙记•吴启华「虎牙」,http://cfss.cc/cdn/hy/23734246.flv
神雕侠侣•古天乐「虎牙」,http://cfss.cc/cdn/hy/23865171.flv
鉴证实录「虎牙」,http://cfss.cc/cdn/hy/23903183.flv
创世纪「虎牙」,http://cfss.cc/cdn/hy/23749083.flv
使徒行者「虎牙」,http://cfss.cc/cdn/hy/23734256.flv
金枝欲孽「虎牙」,http://cfss.cc/cdn/hy/23865036.flv
大唐双龙传「虎牙」,http://cfss.cc/cdn/hy/23728674.flv
妙手仁心「虎牙」,http://cfss.cc/cdn/hy/23829543.flv
扫黄先锋「虎牙」,http://cfss.cc/cdn/hy/23903196.flv
笑看风云「虎牙」,http://cfss.cc/cdn/hy/23865058.flv
大时代「虎牙」,http://cfss.cc/cdn/hy/23865161.flv
斗罗大陆•唐家三少「虎牙」,http://cfss.cc/cdn/hy/11352906.flv
许氏三杰「虎牙」,http://cfss.cc/cdn/hy/11602033.flv
许冠英「虎牙」,http://cfss.cc/cdn/hy/11601972.flv
五福星「虎牙」,http://cfss.cc/cdn/hy/11282233.flv
周星驰「虎牙」,http://cfss.cc/cdn/hy/11342412.flv
成龙「虎牙」,http://cfss.cc/cdn/hy/11342386.flv
周润发「虎牙」,http://cfss.cc/cdn/hy/11342387.flv
李连杰「虎牙」,http://cfss.cc/cdn/hy/11342390.flv
邱淑贞「虎牙」,http://cfss.cc/cdn/hy/11352949.flv
刘德华「虎牙」,http://cfss.cc/cdn/hy/11342424.flv
徐峥「虎牙」,http://cfss.cc/cdn/hy/11602043.flv
沈腾「虎牙」,http://cfss.cc/cdn/hy/11601968.flv
古天乐「虎牙」,http://cfss.cc/cdn/hy/11602041.flv
洪金宝「虎牙」,http://cfss.cc/cdn/hy/11279251.flv
徐克「虎牙」,http://cfss.cc/cdn/hy/11352909.flv
黄渤「虎牙」,http://cfss.cc/cdn/hy/11352876.flv
士兵突击「YY」,https://lunbo.freetv.top/yy/1382828766
狂飙「YY」,https://lunbo.freetv.top/yy/1508778570
鸡毛飞上天「YY」,https://lunbo.freetv.top/yy/1461033197
小兵张嘎「YY」,https://lunbo.freetv.top/yy/1354930225
炊事班的故事 Ⅰ「YY」,https://lunbo.freetv.top/yy/1382749901
炊事班的故事 Ⅱ「YY」,https://lunbo.freetv.top/yy/1382736885
炊事班的故事 Ⅲ「YY」,https://lunbo.freetv.top/yy/1382736716
上海滩「YY」,https://lunbo.freetv.top/yy/1382745184
新世界「YY」,https://lunbo.freetv.top/yy/1382736850
福贵「YY」,https://lunbo.freetv.top/yy/1354926537
灌篮高手「YY」,https://lunbo.freetv.top/yy/1356243352
武林外传「YY」,https://lunbo.freetv.top/yy/1355652820
【鹿鼎记】金庸经典「YY」,https://lunbo.freetv.top/yy/28265277
济公游记「YY」,https://lunbo.freetv.top/yy/1355265814
铁齿铜牙纪晓岚「YY」,https://lunbo.freetv.top/yy/1354143978
天龙八部（国语版）「YY」,https://lunbo.freetv.top/yy/1382736855
雍正王朝「YY」,https://lunbo.freetv.top/yy/1356043620
少年包青天「YY」,https://lunbo.freetv.top/yy/38498680
热度榜1.包青天「YY」,https://lunbo.freetv.top/yy/22701868
隋唐英雄传「YY」,https://lunbo.freetv.top/yy/1352475619
鹊刀门「YY」,https://lunbo.freetv.top/yy/1355344777
宰相刘罗锅「YY」,https://lunbo.freetv.top/yy/1382745191
二号交通站「YY」,https://lunbo.freetv.top/yy/1353428972
少年歌行「YY」,https://lunbo.freetv.top/yy/1354806550
天龙神雕•经典回忆「YY」,https://lunbo.freetv.top/yy/68260522
神探狄仁杰「YY」,https://lunbo.freetv.top/yy/38338029
盗暮•老九门「YY」,https://lunbo.freetv.top/yy/1382763739
我和僵尸有个约会「YY」,https://lunbo.freetv.top/yy/1354143966
雪中悍刀行「YY」,https://lunbo.freetv.top/yy/1382660835
康熙微服私访记「YY」,https://lunbo.freetv.top/yy/1352811698
新白娘子传奇「YY」,https://lunbo.freetv.top/yy/1354490667
花千骨「YY」,https://lunbo.freetv.top/yy/1354943110
我的兄弟叫顺溜「YY」,https://lunbo.freetv.top/yy/1459331991
西游记后传「YY」,https://lunbo.freetv.top/yy/1382736846
情满四合院「YY」,https://lunbo.freetv.top/yy/1382851524
父母爱情「YY」,https://lunbo.freetv.top/yy/1354926650
变形金刚「YY」,https://lunbo.freetv.top/yy/1382736803
天道-9.2高分好剧「YY」,https://lunbo.freetv.top/yy/1382735574
寻秦记-穿越剧经典「YY」,https://lunbo.freetv.top/yy/1382749900
三国演义【1994】「YY」,https://lunbo.freetv.top/yy/1354930932
神雕侠侣「YY」,https://lunbo.freetv.top/yy/1460913377
我的体育老师「YY」,https://lunbo.freetv.top/yy/1382745169
欢乐颂「YY」,https://lunbo.freetv.top/yy/1382851577
天下第一「YY」,https://lunbo.freetv.top/yy/1382736838
读心神探「YY」,https://lunbo.freetv.top/yy/1382736875
红楼梦1987经典「YY」,https://lunbo.freetv.top/yy/1382745084
西游记后传「YY」,https://lunbo.freetv.top/yy/1353392400
大汉贤后卫子夫「YY」,https://lunbo.freetv.top/yy/1382735569
金婚「YY」,https://lunbo.freetv.top/yy/1382736832
